Date,Open Price,High,Low,Close Price,Total Traded Quantity,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
2016-03-23,159500.0,159500.0,157000.0,158000.0,454762,153700.0,154820.42874472725,153700.0,164154.6640309481,143245.3359690519,78.21332704901573,78.62177819493017,-454762000.0,3250.0,1432884704.1203318
2016-03-24,156500.0,157000.0,154500.0,155500.0,288522,155500.0,155046.95249653162,155500.0,162170.83203206316,148829.16796793684,38.318718503359094,82.98143044494279,-721305000.0,2500.0,-739519998.7705605
2016-03-25,154500.0,155500.0,152000.0,153000.0,279961,156000.0,154364.6349975938,156000.0,160949.74746830584,151050.25253169416,18.968267116892733,78.71729228497419,-699902500.0,3000.0,-2333280445.646739
2016-03-28,153000.0,156500.0,152000.0,154000.0,186865,155900.0,154243.0899983847,155900.0,161018.5935568279,150781.4064431721,42.284660173556674,78.17812037708757,186865000.0,4000.0,-648135226.3049614
2016-03-29,155000.0,156000.0,153500.0,155000.0,229075,155100.0,154495.39333227192,155100.0,158868.28873628334,151331.71126371666,63.366689219228476,77.45897286371152,229075000.0,3500.0,874875312.3821003
2016-03-30,156000.0,159000.0,155000.0,155500.0,373060,154600.0,154830.26222152828,154600.0,156767.9483388679,152432.0516611321,73.16783528506687,76.37665146257642,186530000.0,3250.0,1479076690.3545754
2016-03-31,156000.0,156000.0,151500.0,152500.0,575626,154000.0,154053.5081476644,154000.0,156549.50975679638,151450.49024320362,17.377186878655166,67.75323857270924,-1726878000.0,4250.0,-64115816.208405256
2016-04-01,152500.0,152500.0,147500.0,149500.0,604435,153300.0,152535.6720984154,153300.0,158127.00735445888,148472.99264554112,6.882041245972303,65.2260688561442,-1813305000.0,4750.0,-2821391363.6105614
2016-04-04,148500.0,149500.0,143500.0,144000.0,767267,151300.0,149690.44806557588,151300.0,160749.86772394195,141850.13227605805,2.140920660287165,61.11636490878238,-4219968500.0,5500.0,-2919528891.7191114
2016-04-05,144000.0,145000.0,143500.0,144500.0,292339,149200.0,147960.29871036997,149200.0,159189.99499499373,139210.00500500627,13.033997080253783,60.42872864024913,146169500.0,3750.0,-1945734433.4318514
2016-04-06,144000.0,146000.0,144000.0,144000.0,379789,146900.0,146640.19914023957,146900.0,154691.020472313,139108.979527687,10.660641725154576,59.76884098934831,-189894500.0,1750.0,-379762732.69925404
2016-04-07,143500.0,146500.0,143500.0,146500.0,366852,145700.0,146593.4660934929,145700.0,150422.28758124704,140977.71241875296,68.32943954889109,57.250605558436725,917130000.0,2500.0,197478073.3512558
2016-04-08,146000.0,146500.0,144000.0,146000.0,339546,145000.0,146395.64406232812,145000.0,147345.2078799117,142654.7921200883,54.307249000603214,48.370944677443575,-169773000.0,2750.0,92034658.04338759
2016-04-11,147500.0,147500.0,145000.0,146000.0,197423,145400.0,146263.76270821854,145400.0,147567.9483388679,143232.0516611321,54.307249000603214,41.375336598676306,0.0,2500.0,725192902.0169873
2016-04-12,146000.0,150000.0,145000.0,148500.0,361212,146200.0,147009.17513881315,146200.0,149409.36130717624,142990.63869282376,91.04816650179231,39.988591214482874,903030000.0,3750.0,1498301151.7396765
2016-04-14,150000.0,152000.0,149500.0,152000.0,496852,147800.0,148672.7834258766,147800.0,152928.35256198322,142671.64743801678,97.24681108191116,47.73691030714067,1738982000.0,3750.0,1682790819.015302
2016-04-15,150500.0,152000.0,149000.0,151500.0,297722,148800.0,149615.18895058485,148800.0,154570.6152185014,143029.3847814986,81.18506246886395,47.6237859144606,-148861000.0,2750.0,691691482.0971978
2016-04-18,150000.0,155000.0,150000.0,154000.0,406339,150400.0,151076.7926337237,150400.0,156700.79360080935,144099.20639919065,92.9044358005817,49.682392255473594,1015847500.0,4000.0,1104543227.5385685
2016-04-19,155000.0,155000.0,152000.0,153000.0,310407,151800.0,151717.86175581595,151800.0,155959.3268686171,147640.6731313829,62.00653100109787,50.391180122932056,-310407000.0,4000.0,1713736181.6400979
2016-04-20,153500.0,155000.0,151000.0,151500.0,270230,152400.0,151645.24117054394,152400.0,154567.9483388679,150232.0516611321,31.038465482714088,44.49731783991017,-405345000.0,3500.0,113181386.73390818
2016-04-21,152000.0,154500.0,152000.0,154000.0,297646,152800.0,152430.1607803627,152800.0,155309.98007960222,150290.01992039778,74.12106080095133,52.564519197584076,744115000.0,3250.0,-265064646.1545547
2016-04-22,152000.0,153500.0,150500.0,151000.0,318972,152700.0,151953.44052024177,152700.0,155492.8480087538,149907.1519912462,29.65600552924684,55.48620526595026,-956916000.0,2750.0,-482835398.61275005
2016-04-25,151000.0,152000.0,149000.0,149500.0,273343,151800.0,151135.6270134945,151800.0,155307.13558335003,148292.86441664997,18.536188398310415,61.18723663819298,-410014500.0,3000.0,-1410967511.2750115
2016-04-26,149000.0,154000.0,149000.0,153500.0,365930,151900.0,151923.7513423297,151900.0,155601.35110466435,148198.64889533565,72.84346711410785,67.94582287532842,1463720000.0,4000.0,-139950846.40943682
2016-04-27,152000.0,153000.0,148500.0,149000.0,374037,151400.0,150949.1675615531,151400.0,155949.72526643093,146850.27473356907,29.138007820574046,60.01182232732039,-1683166500.0,4750.0,232032198.97061783
2016-04-28,148500.0,150500.0,147000.0,148000.0,466520,150200.0,149966.11170770208,150200.0,154477.84992724148,145922.15007275852,23.003759192422464,51.25950664257231,-466520000.0,4000.0,-1201394363.6118045
2016-04-29,146500.0,147500.0,142000.0,143500.0,739237,148700.0,147810.74113846803,148700.0,155862.40183178798,141537.59816821202,7.946811520597137,47.47587764204628,-3326566500.0,4500.0,-2238256544.927444
2016-05-02,142000.0,144000.0,141500.0,142500.0,242036,147300.0,146040.49409231203,147300.0,156205.05474435727,138394.94525564273,6.15598613096229,43.440569307794135,-242036000.0,4000.0,-2520924952.606813
2016-05-03,143000.0,144000.0,142000.0,142500.0,359029,145100.0,144860.3293948747,145100.0,151400.79360080935,138799.20639919065,6.15598613096229,43.286947153068446,0.0,2250.0,-963271937.9515805
2016-05-04,141500.0,142000.0,138500.0,139000.0,807340,143100.0,142906.8862632498,143100.0,149557.55371638518,136642.44628361482,1.481613598349341,32.099070718948994,-2825690000.0,2750.0,-526461085.4542948
2016-05-09,138500.0,139000.0,135500.0,135500.0,482711,140600.0,140437.92417549985,140600.0,147248.30805543787,133951.69194456213,0.5882586835898138,31.292790152532064,-1689488500.0,3500.0,-1683700628.262731
2016-05-10,136500.0,140500.0,136500.0,139500.0,346710,139800.0,140125.28278366657,139800.0,145613.77674149946,133986.22325850054,58.19867794217382,30.12330589081253,1386840000.0,3750.0,-366543571.5003133
2016-05-11,140500.0,142000.0,138500.0,139000.0,284228,139100.0,139750.1885224444,139100.0,144069.90945591568,134130.09054408432,50.833942409003065,29.451561896228668,-142114000.0,3750.0,1798543764.4161782
2016-05-12,138000.0,138500.0,136500.0,136500.0,421047,137900.0,138666.79234829627,137900.0,141463.70593624108,134336.29406375892,22.438811159733632,28.86682129331612,-1052617500.0,2750.0,424346315.5627662
2016-05-13,136000.0,137500.0,135000.0,135000.0,529746,137100.0,137444.5282321975,137100.0,141186.5633483405,133013.4366516595,13.433974325825488,22.668960383260668,-794619000.0,2250.0,-948086411.0968461
2016-05-16,136500.0,137500.0,135000.0,135500.0,397771,137100.0,136796.35215479834,137100.0,141186.5633483405,133013.4366516595,31.7053560311397,28.771389759651086,198885500.0,2500.0,-294952675.43313164
2016-05-17,135500.0,136500.0,134500.0,134500.0,314839,136100.0,136030.90143653224,136100.0,139663.70593624108,132536.29406375892,17.191230660152982,28.72130769361243,-314839000.0,2250.0,-238216993.44744408
2016-05-18,135000.0,135500.0,132000.0,133000.0,630692,134900.0,135020.60095768815,134900.0,137488.43582110896,132311.56417889104,7.243462004274278,21.58680279831634,-946038000.0,2750.0,-723794739.7958994
2016-05-19,132500.0,136000.0,132500.0,134500.0,389055,134500.0,134847.06730512544,134500.0,136370.82869338698,132629.17130661302,57.003558759029154,27.54470759695586,583582500.0,3500.0,-260673812.45735982
2016-05-20,134000.0,135000.0,131500.0,132000.0,462176,133900.0,133898.04487008363,133900.0,136674.8873851023,131125.1126148977,20.444593040753745,27.790571980105923,-1155440000.0,3500.0,-153739699.70303306
