SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
HDFC,EQ,1476,1655.6,1476,1646.05,1655.6,1505.1,10417560,16388732588,25-Mar-20,311380
HDFC,EQ,1689.5,1843.45,1671.2,1733.25,1755,1646.05,12104359,21184811466,26-Mar-20,289135
HDFC,EQ,1785.2,1849.65,1710.05,1754,1755.45,1733.25,9048464,16097031294,27-Mar-20,254613
HDFC,EQ,1667.3,1699,1548,1558.75,1564,1754,8670691,14029421577,30-Mar-20,306298
HDFC,EQ,1625,1666.55,1582,1633.1,1625,1558.75,10444821,16946278907,31-Mar-20,310677
HDFC,EQ,1645.5,1693.6,1575.9,1583.5,1588,1633.1,6752017,10858669940,01-Apr-20,188955
HDFC,EQ,1575.5,1578.8,1482.25,1499.55,1499.75,1583.5,10149442,15352154499,03-Apr-20,342735
HDFC,EQ,1574.7,1577.5,1517.6,1555.15,1570,1499.55,12307166,18977864316,07-Apr-20,454758
HDFC,EQ,1543.4,1692,1535,1558.8,1560,1555.15,8974987,14403795607,08-Apr-20,230116
HDFC,EQ,1587.7,1714.65,1587.5,1703.1,1702,1558.8,8572034,14312462272,09-Apr-20,305756
HDFC,EQ,1725,1763.75,1646.55,1655.2,1662,1703.1,7287804,12245737787,13-Apr-20,285995
HDFC,EQ,1708.5,1710,1584.9,1596.3,1597,1655.2,8512332,13986053408,15-Apr-20,312431
HDFC,EQ,1590,1663.7,1575,1625.75,1630,1596.3,7892749,12815967216,16-Apr-20,241563
HDFC,EQ,1690,1738,1652.4,1680.6,1680,1625.75,8954559,15120478543,17-Apr-20,325105
HDFC,EQ,1709.8,1738,1673.4,1727.7,1734,1680.6,7372380,12605653593,20-Apr-20,203023
HDFC,EQ,1670,1694.8,1651.1,1669.7,1665,1727.7,6604554,11069479448,21-Apr-20,180701
HDFC,EQ,1669.7,1679,1626.15,1664.15,1670,1669.7,5301750,8797052694,22-Apr-20,192440
HDFC,EQ,1674.9,1687,1651.6,1663.45,1656,1664.15,4419421,7366264030,23-Apr-20,173378
HDFC,EQ,1603,1624.95,1569.1,1580.3,1588,1663.45,7166440,11464230351,24-Apr-20,298693
HDFC,EQ,1618.1,1652.15,1585.35,1591.45,1600.6,1580.3,5719079,9269017194,27-Apr-20,198621
HDFC,EQ,1615.8,1725,1612.65,1715.8,1724,1591.45,7691600,12859811307,28-Apr-20,233697
HDFC,EQ,1734,1845,1726,1836.75,1827.95,1715.8,11881509,21426401018,29-Apr-20,374646
HDFC,EQ,1857,1927,1855.5,1916,1916.15,1836.75,8237079,15607316366,30-Apr-20,279673
HDFC,EQ,1856,1856,1708.3,1724.35,1724.85,1916,6040202,10608844800,04-May-20,255869
HDFC,EQ,1745,1769.5,1678,1689.9,1697,1724.35,7807204,13453332183,05-May-20,248587
HDFC,EQ,1709,1777.55,1680,1732.15,1735,1689.9,8781437,15244720856,06-May-20,250369
HDFC,EQ,1730,1745.95,1697.65,1703.9,1707,1732.15,3349484,5748291661,07-May-20,114586
HDFC,EQ,1737,1742,1685,1689.7,1689.75,1703.9,4420831,7541626740,08-May-20,129326
HDFC,EQ,1712.5,1722,1652.1,1658.45,1660,1689.7,4677500,7869617984,11-May-20,154839
HDFC,EQ,1630,1682.8,1587.1,1674.1,1671.9,1658.45,7019332,11417987223,12-May-20,244690
HDFC,EQ,1747,1749.5,1698,1712.75,1716,1674.1,5734243,9869849433,13-May-20,205554
HDFC,EQ,1685,1693,1628.1,1632.4,1636.2,1712.75,5424770,8986603024,14-May-20,201771
HDFC,EQ,1649,1657.75,1609,1633.8,1634,1632.4,5610025,9163464258,15-May-20,245689
HDFC,EQ,1633.5,1637.65,1506.4,1512.05,1518.55,1633.8,8460262,13138490500,18-May-20,326536
HDFC,EQ,1570,1591.75,1512,1539.85,1545,1512.05,9261076,14390950084,19-May-20,254429
HDFC,EQ,1550,1640,1545,1627,1634.5,1539.85,6847043,10872414709,20-May-20,236795
HDFC,EQ,1632.9,1651.8,1590,1597.3,1595,1627,7056092,11450632312,21-May-20,201899
HDFC,EQ,1582,1596.7,1501.5,1516.15,1515.85,1597.3,12034389,18415563255,22-May-20,388675
HDFC,EQ,1516,1568.15,1486,1502.15,1506.4,1516.15,12752510,19296553195,26-May-20,410460
HDFC,EQ,1513,1578,1490,1570.4,1570.55,1502.15,12428432,19074883799,27-May-20,387154
HDFC,EQ,1580,1643.8,1577,1623.7,1633,1570.4,10262028,16630724097,28-May-20,301812
HDFC,EQ,1615.9,1676.35,1590.9,1658.9,1667,1623.7,13809103,22634377817,29-May-20,365281
HDFC,EQ,1706.6,1764.85,1701.3,1737.7,1732,1658.9,8056778,13998949950,01-Jun-20,245505
HDFC,EQ,1737.7,1822.35,1732.15,1813.55,1817,1737.7,8319067,14822382978,02-Jun-20,263037
HDFC,EQ,1835.2,1859.45,1823.1,1835.65,1833,1813.55,9490542,17414908522,03-Jun-20,244160
HDFC,EQ,1815,1828.4,1759,1764.3,1761.65,1835.65,7617538,13562275960,04-Jun-20,237971
HDFC,EQ,1775,1788.95,1740.6,1766.6,1775,1764.3,6691738,11810902054,05-Jun-20,188004
HDFC,EQ,1801,1818.9,1748.35,1760.8,1764,1766.6,6209421,11050687673,08-Jun-20,228341
HDFC,EQ,1763.2,1826.75,1746,1772.1,1771,1760.8,9065372,16163605937,09-Jun-20,217301
HDFC,EQ,1784,1820,1782,1809.3,1810.55,1772.1,4631195,8335723847,10-Jun-20,193292
