Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02-Sep-10,272.59,278.8,272,277.7,1379.602342,171665,5327,236829436,62568,36.45,34,25.55
03-Sep-10,266.46,278.98,266.46,275.99,1378.719357,84178,2894,116057838,14373,17.07,62.6,47.65
06-Sep-10,277.4,281.4,277.34,279.18,1396.235801,153023,4050,213656191,61399,40.12,20.3,8.9
07-Sep-10,279.92,281.2,275.6,279.65,1393.068992,122188,3155,170216314,53184,43.53,28,-1.35
08-Sep-10,277.38,278.35,274.6,275.85,1381.869292,92060,3212,127214887,17180,18.66,18.75,-7.65
09-Sep-10,277.8,278.21,273.7,275.74,1381.011199,135813,3009,187559274,68791,50.65,22.55,-10.3
13-Sep-10,277.8,286.5,277.8,284.91,1420.402297,270907,6005,384796925,132526,48.92,43.5,35.55
14-Sep-10,286,287,281.58,284.95,1421.89933,147750,4661,210085626,33590,22.73,27.1,-5.25
15-Sep-10,285.74,295,285.6,294,1458.172968,231182,6508,337103343,73945,31.99,47,41.3
16-Sep-10,294,303,292.8,296.88,1495.058205,315606,9099,471849340,58460,18.52,51,14.4
17-Sep-10,298.1,302,296.87,301.13,1498.401357,130881,4736,196112268,28966,22.13,25.65,15.15
20-Sep-10,301.4,312,297.6,308.47,1518.166019,195273,6241,296456833,47881,24.52,72,35.35
21-Sep-10,310.6,316,305.12,306.18,1555.996826,670474,6325,1043255416,502916,75.01,54.4,-22.1
22-Sep-10,308,310.19,303.2,306.01,1531.435037,98118,3644,150261343,21680,22.1,34.95,-9.95
23-Sep-10,306,307.7,297.64,298.78,1518.906027,202366,4075,307374937,119255,58.93,50.3,-36.1
24-Sep-10,298,302.56,295.22,301.25,1492.782841,181917,4886,271562576,68741,37.79,36.7,16.25
27-Sep-10,302.4,305,298.72,301.12,1513.492166,99692,2931,150883061,15292,15.34,31.4,-6.4
28-Sep-10,301.4,303.96,298.42,301.52,1506.369391,82027,3484,123562962,14383,17.53,27.7,0.6
29-Sep-10,303.6,304.22,300.27,301.73,1509.775828,90957,3215,137324680,24871,27.34,19.75,-9.35
30-Sep-10,300.56,307.2,300.21,306.24,1523.202723,89082,3657,135689945,16900,18.97,34.95,28.4
01-Oct-10,307.22,316,307.22,314.49,1559.841006,109696,3916,171108319,32423,29.56,43.9,36.35
04-Oct-10,316.23,318.97,314,315.39,1583.078675,79720,3242,126203032,22824,28.63,24.85,-4.2
05-Oct-10,316,317.98,314.27,315.02,1579.295812,106527,2113,168237645,22651,21.26,18.55,-4.9
06-Oct-10,317,318.65,311,313.18,1571.514709,78658,2447,123612204,13587,17.27,38.25,-19.1
07-Oct-10,313,316,311.8,313.1,1571.072514,148371,3028,233101600,41099,27.7,21,0.5
08-Oct-10,314.68,316.56,311.2,314.22,1569.159974,88677,2581,139148399,24204,27.29,26.8,-2.3
11-Oct-10,318,321,308.21,310.21,1568.581009,150292,5090,235745177,40217,26.76,63.95,-38.95
12-Oct-10,310,310.8,305.45,308.46,1538.67414,105395,3536,162168561,29553,28.04,26.75,-7.7
13-Oct-10,310.8,319,309.61,317.74,1575.284538,135307,4753,213147025,74608,55.14,46.95,34.7
14-Oct-10,320,321.6,311.1,312.69,1589.334197,327181,9491,519999952,66558,20.34,52.5,-36.55
15-Oct-10,312.6,313.6,300,301.16,1523.252903,141671,6102,215800762,34928,24.65,68,-57.2
18-Oct-10,301.2,301.2,291.5,296.41,1476.757382,242888,5653,358686647,119848,49.34,48.5,-23.95
19-Oct-10,299.6,299.6,292,293.17,1478.5098,184137,4601,272248359,48224,26.19,38,-32.15
20-Oct-10,293.8,295.33,290.2,291.13,1464.807379,116789,3915,171073389,39613,33.92,25.65,-13.35
21-Oct-10,293,301.86,292,300.78,1488.719061,171354,6258,255097966,45023,26.27,49.3,38.9
22-Oct-10,303,303,292.26,292.83,1476.718953,96532,4013,142550634,29643,30.71,53.7,-50.85
25-Oct-10,296.8,297.98,292.2,293.36,1477.805873,109207,4016,161386746,22727,20.81,28.9,-17.2
26-Oct-10,295,295,291.2,292.07,1462.440516,104330,3506,152576419,33009,31.64,19,-14.65
27-Oct-10,292.98,292.98,288.03,289.25,1447.761878,76045,3067,110095052,25551,33.6,24.75,-18.65
28-Oct-10,289.94,293.96,288.2,289.33,1455.120471,74292,3039,108103810,18216,24.52,28.8,-3.05
29-Oct-10,288.44,295.59,286.5,293.33,1453.01785,97645,4033,141879928,16354,16.75,45.45,24.45
01-Nov-10,294.4,304.4,294.4,302.24,1508.482896,67470,2471,101777341,27670,41.01,50,39.2
02-Nov-10,304,307.38,302.6,305.2,1526.589046,95417,3586,145662547,26465,27.74,23.9,6
03-Nov-10,306.62,308.8,305.63,307.43,1536.378722,54779,2258,84161290,17846,32.58,15.85,4.05
04-Nov-10,307,312,307,308.76,1545.515556,57856,1972,89417348,27749,47.96,25,8.8
05-Nov-10,310,311.89,309.11,309.88,1551.448415,11864,650,18406384,5736,48.35,13.9,-0.6
08-Nov-10,309.8,316.98,306.4,311.32,1568.543359,209909,4923,329251368,102106,48.64,52.9,7.6
09-Nov-10,310,313.2,308.4,311.58,1553.485371,77553,4068,120477451,28731,37.05,24,7.9
10-Nov-10,312.2,312.4,308,309.45,1550.054272,92866,2160,143947340,54897,59.11,22,-13.75
11-Nov-10,310,311.98,302.22,304.66,1541.562969,95682,3903,147499828,47337,49.47,48.8,-26.7
12-Nov-10,305,305,296.2,298.29,1497.934336,58662,2377,87871824,14788,25.21,44,-33.55
15-Nov-10,299,306.64,297.18,304.71,1517.834561,87851,3328,133343284,22627,25.76,47.3,28.55
16-Nov-10,305,305.74,289.1,293.36,1475.615625,159045,6012,234689287,50087,31.49,83.2,-58.2
18-Nov-10,301.6,301.6,278.2,285.38,1430.743855,848526,24513,1214023360,139329,16.42,117,-81.1
19-Nov-10,285.8,286.93,274.01,276.82,1397.07663,420595,12818,587603445,136341,32.42,64.6,-44.9
22-Nov-10,280,290.4,274.22,286.39,1417.066851,357631,12471,506787035,67238,18.8,80.9,31.95
23-Nov-10,283.8,285.76,276.04,284.27,1403.453502,249794,9769,350574264,55860,22.36,48.6,2.35
24-Nov-10,284.2,286.49,274.52,277.08,1411.560958,190993,6473,269598262,53402,27.96,59.85,-35.6
25-Nov-10,278.4,279,267.53,269.74,1363.56209,176664,6818,240892333,52541,29.74,57.35,-43.3
26-Nov-10,269.4,272.97,259.3,265.84,1331.06036,277203,8835,368973925,50866,18.35,68.35,-17.8
29-Nov-10,266.2,269.41,264.4,265.86,1331.860524,145193,4439,193376825,33019,22.74,25.05,-1.7
30-Nov-10,266,277.58,262.75,273.58,1357.729808,176519,7119,239665108,27491,15.57,74.15,37.9
01-Dec-10,273.62,285,273.62,284.26,1406.336776,108627,4586,152766145,24099,22.19,56.9,53.2
02-Dec-10,286.8,291.98,284.65,290.69,1439.721424,143189,4969,206152271,24199,16.9,36.65,19.45
