Symbol,Open Price,High,Low,Close Price,Total Traded Quantity,Total Traded Value,Date,Average Trading Price
HDFC,2530.0,2531.0,2413.0,2445.85,3353567,8210377357.0,05-Apr-21,2448.2520721965598
HDFC,2470.3,2486.85,2435.35,2472.3,2882606,7114455771.0,06-Apr-21,2468.063887676637
HDFC,2489.0,2507.8,2457.0,2482.7,3511527,8726504187.0,07-Apr-21,2485.1024033134304
HDFC,2495.0,2530.9,2485.75,2502.55,2510746,6312048417.0,08-Apr-21,2514.0131327501867
HDFC,2522.0,2556.0,2492.3,2513.9,3234017,8141860941.0,09-Apr-21,2517.5689988642607
HDFC,2450.0,2454.45,2405.0,2419.85,3772771,9149810744.0,12-Apr-21,2425.2229313679522
HDFC,2422.4,2523.1,2412.25,2512.95,3832030,9459725070.0,13-Apr-21,2468.5936879408564
HDFC,2540.0,2555.0,2493.0,2547.15,4201633,10618500100.0,15-Apr-21,2527.231697770843
HDFC,2550.0,2589.8,2546.85,2574.05,3133311,8060093450.0,16-Apr-21,2572.388585110128
HDFC,2474.0,2510.0,2452.0,2492.35,3550890,8821342904.0,19-Apr-21,2484.262509962291
HDFC,2542.15,2544.0,2406.2,2415.9,7365765,18080588517.0,20-Apr-21,2454.6789799837493
HDFC,2400.0,2485.0,2373.0,2479.7,4514740,11004497066.0,22-Apr-21,2437.4597575940143
HDFC,2455.05,2504.15,2437.5,2497.35,3143779,7795464528.0,23-Apr-21,2479.647751320942
HDFC,2500.0,2534.1,2483.2,2509.8,3916088,9821804816.0,26-Apr-21,2508.0653999603687
HDFC,2494.15,2526.8,2486.25,2518.4,2040799,5120729690.0,27-Apr-21,2509.178851028445
HDFC,2516.1,2609.0,2508.3,2577.0,3407461,8771527416.0,28-Apr-21,2574.212123337582
HDFC,2590.9,2628.0,2533.0,2538.85,3005468,7722995108.0,29-Apr-21,2569.6480907465993
HDFC,2503.1,2525.0,2411.1,2420.1,6024595,14735807391.0,30-Apr-21,2445.941576321728
HDFC,2365.0,2432.95,2365.0,2418.5,2984938,7168042528.0,03-May-21,2401.404159148364
HDFC,2420.0,2435.0,2373.6,2377.2,3135834,7529786776.0,04-May-21,2401.2070715477926
HDFC,2392.0,2403.0,2354.0,2377.6,3458463,8220152460.0,05-May-21,2376.8224381755713
HDFC,2397.3,2435.0,2382.0,2430.1,2401866,5804094933.0,06-May-21,2416.494064614762
HDFC,2454.7,2507.3,2438.4,2496.75,4829852,11935242399.0,07-May-21,2471.140399126102
HDFC,2515.1,2563.7,2515.1,2531.35,4289915,10902145862.0,10-May-21,2541.343094676701
HDFC,2489.35,2502.0,2447.6,2464.2,3728419,9204828668.0,11-May-21,2468.828924002372
HDFC,2448.0,2448.0,2407.5,2438.7,3168128,7686518857.0,12-May-21,2426.202115886732
HDFC,2438.7,2443.95,2402.1,2422.0,2254726,5457669635.0,14-May-21,2420.546724967912
HDFC,2454.0,2495.0,2435.5,2486.45,4452603,10965779087.0,17-May-21,2462.779431941271
HDFC,2508.0,2527.0,2486.95,2502.85,2844233,7123526607.0,18-May-21,2504.5510009201075
HDFC,2498.0,2517.0,2453.75,2459.85,2031903,5041593870.0,19-May-21,2481.2177894318775
HDFC,2467.0,2488.0,2440.1,2445.0,2551577,6282745613.0,20-May-21,2462.2990460409387
HDFC,2472.0,2525.95,2457.15,2518.05,2711607,6778506596.0,21-May-21,2499.811586266004
HDFC,2515.0,2558.8,2515.0,2540.9,2655396,6758373621.0,24-May-21,2545.147172399145
HDFC,2562.0,2570.4,2523.5,2530.5,2641950,6730908331.0,25-May-21,2547.704661708208
HDFC,2547.0,2575.0,2530.5,2567.55,1839397,4698340429.0,26-May-21,2554.282968277104
HDFC,2580.35,2580.35,2488.05,2508.85,14119786,35523087530.0,27-May-21,2515.8375296906056
HDFC,2514.65,2549.85,2511.0,2541.35,2548032,6462179167.0,28-May-21,2536.1452159941477
HDFC,2527.55,2564.8,2502.0,2552.85,3221015,8165024990.0,31-May-21,2534.922994770282
HDFC,2567.0,2610.0,2560.5,2580.75,3900226,10088926870.0,01-Jun-21,2586.7544265383594
HDFC,2570.75,2581.85,2531.1,2562.15,3551619,9059209246.0,02-Jun-21,2550.7266533938464
HDFC,2568.0,2603.0,2556.45,2584.0,3636647,9375744679.0,03-Jun-21,2578.128886031556
HDFC,2588.0,2626.0,2584.05,2619.05,3593742,9381596632.0,04-Jun-21,2610.537048012907
HDFC,2635.0,2635.4,2582.0,2585.75,2222082,5761739655.0,07-Jun-21,2592.946459671605
HDFC,2586.0,2589.9,2550.0,2554.5,3046814,7800169051.0,08-Jun-21,2560.1067380548993
HDFC,2558.0,2579.25,2539.75,2544.75,2784864,7123291944.0,09-Jun-21,2557.8598969285395
HDFC,2554.75,2567.85,2535.0,2561.9,2116122,5408007139.0,10-Jun-21,2555.621622477343
HDFC,2575.0,2594.3,2555.0,2559.8,2340867,6023333065.0,11-Jun-21,2573.120585236154
HDFC,2559.8,2559.8,2512.65,2539.2,2125197,5375890246.0,14-Jun-21,2529.5961955526946
HDFC,2559.8,2559.8,2535.2,2545.1,1589974,4047209589.0,15-Jun-21,2545.456459665378
HDFC,2535.0,2545.0,2515.7,2521.45,2290999,5786943796.0,16-Jun-21,2525.9477616533222
HDFC,2482.2,2506.95,2482.2,2487.3,2657850,6624333540.0,17-Jun-21,2492.365460804786
HDFC,2511.0,2511.0,2453.05,2488.1,3082747,7645806220.0,18-Jun-21,2480.1925749988563
HDFC,2459.0,2524.2,2451.0,2516.4,1891651,4718095840.0,21-Jun-21,2494.168237164255
HDFC,2546.8,2546.8,2514.7,2522.9,2604542,6598651626.0,22-Jun-21,2533.517073635211
HDFC,2537.0,2537.0,2493.0,2497.2,2179551,5464912314.0,23-Jun-21,2507.356934524588
HDFC,2514.9,2515.0,2485.0,2487.4,3257706,8135078686.0,24-Jun-21,2497.1801279796273
HDFC,2511.0,2515.0,2482.0,2509.2,1871813,4675348230.0,25-Jun-21,2497.764589731987
HDFC,2515.0,2523.1,2491.2,2494.95,2140346,5355256643.0,28-Jun-21,2502.0518378804177
HDFC,2510.0,2510.0,2476.9,2501.2,2671608,6663807351.0,29-Jun-21,2494.305807962845
HDFC,2503.15,2515.0,2472.2,2475.25,2798047,6965719410.0,30-Jun-21,2489.493353757103
HDFC,2480.0,2491.35,2456.0,2459.4,2189447,5401021708.0,01-Jul-21,2466.842863974328
HDFC,2463.0,2480.0,2445.0,2475.7,1951251,4798295050.0,02-Jul-21,2459.0865296161282
HDFC,2489.3,2496.8,2471.2,2494.9,1234739,3069659783.0,05-Jul-21,2486.07987841965
HDFC,2492.6,2518.9,2490.2,2496.4,1428812,3577834566.0,06-Jul-21,2504.062512072967
HDFC,2503.85,2545.8,2495.2,2529.2,2542003,6417343090.0,07-Jul-21,2524.522233057947
HDFC,2535.0,2543.85,2508.0,2512.05,2683729,6783000003.0,08-Jul-21,2527.4534064355976
HDFC,2504.1,2509.0,2484.85,2496.45,1348273,3365183704.0,09-Jul-21,2495.921600447387
HDFC,2503.0,2511.0,2452.2,2476.95,6818026,16771588574.0,12-Jul-21,2459.8892075213557
HDFC,2496.0,2549.95,2487.75,2544.9,3716936,9402765045.0,13-Jul-21,2529.7086215635672
HDFC,2544.0,2544.9,2516.0,2531.1,2725020,6899920707.0,14-Jul-21,2532.062409450206
HDFC,2539.0,2555.0,2516.0,2540.1,3272479,8304115004.0,15-Jul-21,2537.560975639569
HDFC,2548.0,2558.0,2531.5,2536.9,1568532,3987381360.0,16-Jul-21,2542.1103044120237
HDFC,2488.0,2497.7,2470.9,2481.65,2262325,5618202370.0,19-Jul-21,2483.375452244925
HDFC,2481.65,2481.65,2481.65,2481.65,172808,428848973.2,20-Jul-21,2481.65
HDFC,2470.0,2480.5,2450.0,2458.75,1731830,4264498995.0,20-Jul-21,2462.42356062662
HDFC,2470.1,2493.05,2465.5,2490.3,1792789,4449905095.0,22-Jul-21,2482.1131181639334
HDFC,2497.8,2501.6,2470.0,2482.5,1275979,3170396149.0,23-Jul-21,2484.677372433245
HDFC,2485.0,2485.0,2460.0,2464.3,1462225,3607935367.0,26-Jul-21,2467.428314383901
HDFC,2464.3,2464.3,2464.3,2464.3,165944,408935799.2,27-Jul-21,2464.2999999999997
HDFC,2470.9,2474.0,2430.0,2433.95,2680260,6551232149.0,27-Jul-21,2444.2524788639907
HDFC,2417.1,2432.45,2380.0,2425.8,3988878,9599398985.0,28-Jul-21,2406.541133872733
HDFC,2424.0,2433.65,2405.1,2414.8,3288676,7953361694.0,29-Jul-21,2418.408409341632
HDFC,2417.95,2464.7,2414.8,2441.15,4128459,10076573660.0,30-Jul-21,2440.7590483519393
HDFC,2466.0,2487.0,2425.1,2462.05,5009133,12312390322.0,02-Aug-21,2457.9883029658026
HDFC,2515.0,2560.0,2476.0,2554.65,5962929,15044530763.0,03-Aug-21,2523.0102124308373
HDFC,2573.3,2681.0,2565.0,2676.05,9604932,25429515948.0,04-Aug-21,2647.547733601862
HDFC,2680.0,2685.0,2644.3,2661.7,4021021,10712052309.0,05-Aug-21,2664.013022811868
HDFC,2657.0,2673.0,2621.4,2628.1,2139764,5662476194.0,06-Aug-21,2646.3087490022263
HDFC,2632.05,2646.25,2599.9,2623.9,1751767,4595573079.0,09-Aug-21,2623.392882158415
HDFC,2634.7,2678.7,2626.85,2671.65,4690741,12492467525.0,10-Aug-21,2663.218353987142
HDFC,2675.0,2689.5,2633.75,2658.5,1769627,4705618793.0,11-Aug-21,2659.102055404896
HDFC,2656.6,2675.25,2646.6,2668.75,1702479,4532596292.0,12-Aug-21,2662.3507790698154
HDFC,2662.0,2715.0,2662.0,2704.15,3248615,8774705018.0,13-Aug-21,2701.0603035447416
HDFC,2696.8,2734.45,2693.8,2731.15,2465887,6709996707.0,16-Aug-21,2721.12903267668
HDFC,2729.95,2750.0,2707.15,2738.4,2795510,7620988084.0,17-Aug-21,2726.153039695798
HDFC,2750.0,2770.3,2698.0,2710.75,2501410,6828940470.0,18-Aug-21,2730.036447443642
HDFC,2700.0,2738.95,2698.0,2722.05,3986473,10845398497.0,20-Aug-21,2720.549843683878
HDFC,2745.5,2758.5,2710.0,2721.95,1901700,5183281802.0,23-Aug-21,2725.6043550507443
HDFC,2726.0,2729.9,2683.95,2691.25,2984595,8043012751.0,24-Aug-21,2694.8422653659877
HDFC,2707.8,2718.5,2696.25,2699.25,1714777,4641944905.0,25-Aug-21,2707.025406219001
HDFC,2711.25,2720.0,2682.2,2700.35,1855274,5013249312.0,26-Aug-21,2702.1611427745984
HDFC,2694.1,2724.65,2662.05,2718.2,2761023,7439778308.0,27-Aug-21,2694.5731013468558
HDFC,2730.45,2764.9,2723.1,2755.7,1731926,4754203941.0,30-Aug-21,2745.0387262504287
