Symbol,High,Low,Open Price,Close Price,Average Trading Price,Total Traded Quantity,52 Week Low,52 Week High,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
RELIANCE,2509.5,2308.55,2345.0,2441.95,2392.76,154229892,2180.0,2856.15,2427.5099999999998,2427.92249225552,2427.5099999999998,2526.7825390024886,2328.237460997511,46.43651851295987,45.91829122552703,-6539347420.8000145,255.125,6667.962905628268
RELIANCE,2509.5,2321.55,2350.0,2506.5,2409.75,154581693,2180.0,2856.15,2459.0099999999998,2454.120247114153,2459.0099999999998,2529.503879166926,2388.5161208330737,79.36907551886881,44.767773378115145,9978248283.150028,194.44999999999982,3924.4535458004493
RELIANCE,2555.0,2350.5,2366.0,2551.85,2464.22,170352834,2180.0,2856.15,2485.2799999999997,2486.7011860859297,2485.2799999999997,2578.3126179358696,2392.24738206413,88.93136352056905,43.435965768223134,7725501021.899984,196.2249999999999,2629.4920481031595
RELIANCE,2584.0,2413.05,2436.2,2564.3,2487.86,176850767,2180.0,2817.35,2509.79,2512.5697624046315,2509.79,2609.7933349444006,2409.7866650555993,91.17676099496607,50.85702028825669,2201792049.1500483,187.7249999999999,4446.720941000679
RELIANCE,2584.0,2416.05,2475.0,2529.5,2496.75,177475217,2180.0,2817.35,2518.82,2518.213510193055,2518.82,2615.433937917891,2422.2060620821094,42.72439886377775,51.87570688653648,-6176137551.600032,169.44999999999982,2283.3587278113678
RELIANCE,2664.95,2416.05,2449.55,2633.6,2519.13,184355803,2180.0,2817.35,2557.15,2556.677196705875,2557.15,2653.3464656315527,2460.9535343684474,86.29542642818517,59.722147499034854,19191439092.299984,208.42499999999973,2803.2530796774618
RELIANCE,2802.0,2416.05,2433.9,2740.7,2576.86,212800394,2180.0,2817.35,2603.99,2618.019750667701,2603.99,2775.4805595069392,2432.4994404930603,94.65770588696518,68.70280801886452,22790922197.399982,317.4249999999997,8946.370200581427
RELIANCE,2856.0,2451.0,2480.15,2538.75,2627.32,254037714,2180.0,2817.35,2601.37,2591.5960353627534,2601.37,2777.189134339818,2425.550865660182,28.67422504768335,67.8657500490915,-51302916342.29996,395.4749999999999,9759.308534645403
RELIANCE,2856.0,2465.0,2506.0,2527.85,2623.77,270119264,2180.0,2814.0,2594.08,2570.3471075743514,2594.08,2780.29936795082,2407.86063204918,26.667558803974686,68.61457534187622,-2944299977.6000247,398.0,4051.8447801953216
RELIANCE,2856.0,2458.05,2584.0,2523.85,2620.97,265897165,2180.0,2755.0,2592.95,2554.847950471868,2592.95,2781.18640721179,2404.7135927882096,25.3647589990437,67.06426774455636,-1063588660.0,394.4749999999999,246.5883893647822
