Date,Open Price,High,Low,Close Price,Total Traded Quantity
2003-12-18,82.78125,82.78125,79.784378,80.138283,26063424.0
2003-12-19,81.085159,83.182816,80.753128,82.199997,37655744.0
2003-12-22,82.265625,83.515625,81.25,83.176559,22904256.0
2003-12-23,83.149216,85.546875,83.125,85.185158,38820544.0
2003-12-24,85.15625,85.15625,83.533592,84.747658,21936704.0
2003-12-25,84.747658,84.747658,84.747658,84.747658,0.0
2003-12-26,84.917191,85.3125,83.985153,84.301559,17095616.0
2003-12-29,84.765625,86.3125,84.421875,85.914063,19784704.0
2003-12-30,87.464066,93.515625,85.78125,86.500778,24877824.0
2003-12-31,86.328125,87.734375,86.328125,86.948441,16057728.0
2004-01-01,87.46875,88.356247,87.234375,88.06797,11811200.0
2004-01-02,88.28125,89.21875,87.75,88.543747,17143168.0
2004-01-05,89.84375,92.890625,88.75,91.979691,24806720.0
2004-01-06,92.96875,93.90625,88.00547,88.828125,24549504.0
2004-01-07,89.8125,90.578125,87.394531,88.956253,38803008.0
2004-01-08,89.394531,92.096878,89.394531,91.376564,37550336.0
2004-01-09,93.75,95.3125,90.171875,90.946877,48744256.0
2004-01-12,92.171875,92.171875,88.78125,89.377342,22238464.0
2004-01-13,90.15625,90.765625,88.829689,90.525002,22870912.0
2004-01-14,90.53125,90.714844,88.75,89.148438,22004800.0
2004-01-15,89.082031,89.984375,86.328125,86.897659,34165760.0
2004-01-16,86.71875,86.873436,85.50547,86.310936,26454976.0
2004-01-19,86.484375,86.484375,84.15625,85.978127,30427712.0
2004-01-20,86.328125,87.8125,84.0,84.539841,23610944.0
2004-01-21,84.765625,86.71875,83.359375,84.3125,29010368.0
2004-01-22,84.375,86.640625,78.958595,80.846878,51104832.0
2004-01-23,81.646095,86.046875,81.25,85.332031,36731904.0
2004-01-26,85.332031,85.332031,85.332031,85.332031,0.0
2004-01-27,84.375,87.8125,78.421875,86.897659,28154944.0
2004-01-28,86.015625,86.787498,83.4375,84.647659,24251072.0
2004-01-29,83.59375,84.310158,81.258591,82.079689,37042880.0
2004-01-30,84.199997,84.199997,80.867188,81.449997,25131136.0
2004-02-02,81.449997,81.449997,81.449997,81.449997,0.0
2004-02-03,81.875,82.1875,80.053909,81.214066,37488448.0
2004-02-04,81.271095,84.201561,81.271095,83.748436,25612352.0
2004-02-05,84.0625,86.625,82.8125,84.991409,47011712.0
2004-02-06,84.551559,87.265625,84.394531,86.852341,37574016.0
2004-02-09,87.484375,89.21875,87.196091,88.288284,32914240.0
2004-02-10,88.28125,88.984375,85.782814,86.061722,30173888.0
2004-02-11,86.71875,87.078125,85.078125,85.490623,24955968.0
2004-02-12,85.9375,86.15625,83.046875,83.642967,59246720.0
2004-02-13,83.875,84.828125,83.203125,84.003128,40205760.0
2004-02-16,84.399216,84.953125,83.471092,83.6875,27349376.0
2004-02-17,83.75,84.6875,83.46875,84.34375,23235904.0
2004-02-18,85.0,85.3125,83.140625,83.615623,26329984.0
2004-02-19,83.59375,83.59375,79.40625,79.785934,36728384.0
2004-02-20,79.671875,81.792191,78.359375,79.142967,52873792.0
2004-02-23,79.3125,80.6875,79.0625,79.420311,31885440.0
2004-02-24,79.060936,79.90625,76.96875,78.810158,41712448.0
2004-02-25,88.59375,88.59375,77.046875,77.614845,28607872.0
2004-02-26,78.125,78.90625,75.564064,76.329689,41546176.0
2004-02-27,76.40625,79.59375,75.939842,79.100784,37689664.0
2004-03-01,79.65625,83.28125,79.65625,83.114845,40953024.0
2004-03-02,83.114845,83.114845,83.114845,83.114845,0.0
2004-03-03,82.8125,83.015625,80.46875,81.015625,29994368.0
2004-03-04,81.484375,83.981247,80.676559,82.578125,45102144.0
2004-03-05,82.796875,83.25547,81.644531,82.010941,22380416.0
2004-03-08,82.015625,82.015625,79.6875,79.852341,24954240.0
2004-03-09,91.015625,91.015625,76.09375,77.889061,50456320.0
2004-03-10,77.3125,77.421875,75.783592,76.597656,38215872.0
2004-03-11,76.387497,76.859375,75.078125,75.868752,28511424.0
2004-03-12,76.328125,80.0625,74.609375,78.703125,51212992.0
2004-03-15,80.508591,81.0,76.5625,77.194534,30844672.0
2004-03-16,76.56797,77.8125,75.555466,77.224998,30103616.0
2004-03-17,77.734375,79.995316,77.734375,78.794533,34600128.0
2004-03-18,79.670311,79.6875,76.875,77.143753,24171648.0
2004-03-19,77.0625,81.671875,77.03125,81.081253,44321792.0
2004-03-22,81.25,81.25,78.614845,79.306252,18716864.0
2004-03-23,78.90625,81.778122,78.379684,80.775002,24403456.0
2004-03-24,80.239845,80.9375,78.021095,78.867188,28319680.0
2004-03-25,78.90625,87.5,78.75,80.734375,29444160.0
